T2M,RH2M,WS10M,PRECTOTCORR,WSC,DATE
23.51,92.91,1.94,0.0,1.28,2021-03-16 00:00:00
23.31,93.3,1.69,0.0,1.14,2021-03-16 01:00:00
23.08,93.99,1.57,0.0,1.07,2021-03-16 02:00:00
22.82,94.89,1.62,0.0,1.1,2021-03-16 03:00:00
22.54,96.13,1.76,0.0,1.22,2021-03-16 04:00:00
22.31,97.31,1.92,0.0,1.35,2021-03-16 05:00:00
22.44,97.09,1.96,0.0,1.44,2021-03-16 06:00:00
24.81,88.88,2.03,0.0,1.31,2021-03-16 07:00:00
26.76,78.3,2.29,0.0,1.37,2021-03-16 08:00:00
28.42,69.81,2.31,0.0,1.35,2021-03-16 09:00:00
29.78,63.92,2.39,0.0,1.38,2021-03-16 10:00:00
30.82,59.69,2.5,0.0,1.41,2021-03-16 11:00:00
31.51,56.61,2.6,0.0,1.46,2021-03-16 12:00:00
31.82,54.86,2.71,0.0,1.51,2021-03-16 13:00:00
31.73,54.62,2.76,0.0,1.56,2021-03-16 14:00:00
31.36,55.37,2.8,0.0,1.61,2021-03-16 15:00:00
30.53,58.63,2.62,0.0,1.67,2021-03-16 16:00:00
29.1,66.56,2.5,0.0,1.81,2021-03-16 17:00:00
26.57,77.6,2.5,0.0,2.07,2021-03-16 18:00:00
25.66,80.57,2.63,0.0,2.18,2021-03-16 19:00:00
25.1,83.36,2.59,0.0,2.14,2021-03-16 20:00:00
24.66,85.54,2.45,0.0,1.99,2021-03-16 21:00:00
24.3,87.33,2.31,0.0,1.8,2021-03-16 22:00:00
24.05,88.22,2.22,0.0,1.59,2021-03-16 23:00:00
23.88,88.53,2.04,0.0,1.37,2021-03-17 00:00:00
23.73,88.88,1.81,0.0,1.18,2021-03-17 01:00:00
23.5,89.94,1.66,0.0,1.08,2021-03-17 02:00:00
23.22,91.39,1.61,0.0,1.07,2021-03-17 03:00:00
22.87,93.24,1.68,0.0,1.15,2021-03-17 04:00:00
22.55,94.81,1.81,0.0,1.25,2021-03-17 05:00:00
22.57,95.06,1.82,0.0,1.28,2021-03-17 06:00:00
24.74,87.83,1.71,0.0,1.08,2021-03-17 07:00:00
26.87,75.0,1.98,0.0,1.18,2021-03-17 08:00:00
28.56,66.38,2.22,0.0,1.29,2021-03-17 09:00:00
30.03,59.83,2.44,0.0,1.41,2021-03-17 10:00:00
31.16,55.68,2.58,0.0,1.49,2021-03-17 11:00:00
31.81,53.86,2.64,0.0,1.53,2021-03-17 12:00:00
31.96,53.97,2.61,0.0,1.54,2021-03-17 13:00:00
31.9,54.28,2.58,0.0,1.54,2021-03-17 14:00:00
31.53,55.37,2.55,0.0,1.55,2021-03-17 15:00:00
30.79,58.98,2.42,0.0,1.64,2021-03-17 16:00:00
29.32,67.39,2.46,0.0,1.82,2021-03-17 17:00:00
26.75,77.33,2.62,0.0,2.14,2021-03-17 18:00:00
25.79,80.2,2.74,0.0,2.28,2021-03-17 19:00:00
25.22,83.18,2.68,0.0,2.22,2021-03-17 20:00:00
24.77,85.39,2.48,0.0,2.02,2021-03-17 21:00:00
24.35,87.26,2.3,0.0,1.79,2021-03-17 22:00:00
24.08,87.77,2.23,0.0,1.55,2021-03-17 23:00:00
23.95,87.4,1.94,0.0,1.29,2021-03-18 00:00:00
23.87,87.21,1.57,0.0,1.04,2021-03-18 01:00:00
23.66,88.0,1.33,0.0,0.85,2021-03-18 02:00:00
23.45,89.01,1.19,0.0,0.75,2021-03-18 03:00:00
23.31,89.83,1.13,0.0,0.69,2021-03-18 04:00:00
22.96,91.63,1.15,0.0,0.71,2021-03-18 05:00:00
22.75,92.98,1.19,0.0,0.75,2021-03-18 06:00:00
24.67,87.48,1.08,0.0,0.67,2021-03-18 07:00:00
26.68,76.12,1.1,0.0,0.64,2021-03-18 08:00:00
28.66,64.85,1.11,0.0,0.64,2021-03-18 09:00:00
30.25,56.85,1.42,0.0,0.82,2021-03-18 10:00:00
31.32,52.72,1.84,0.0,1.05,2021-03-18 11:00:00
31.96,50.86,2.22,0.0,1.26,2021-03-18 12:00:00
32.25,50.66,2.47,0.0,1.41,2021-03-18 13:00:00
32.19,51.54,2.59,0.0,1.51,2021-03-18 14:00:00
31.77,52.89,2.65,0.0,1.57,2021-03-18 15:00:00
30.98,56.48,2.51,0.0,1.64,2021-03-18 16:00:00
29.48,64.55,2.47,0.0,1.8,2021-03-18 17:00:00
26.94,76.13,2.52,0.0,2.09,2021-03-18 18:00:00
26.03,79.41,2.7,0.0,2.22,2021-03-18 19:00:00
25.48,82.39,2.67,0.0,2.2,2021-03-18 20:00:00
24.98,85.31,2.54,0.0,2.06,2021-03-18 21:00:00
24.56,87.44,2.39,0.0,1.83,2021-03-18 22:00:00
24.28,88.31,2.27,0.0,1.56,2021-03-18 23:00:00
24.09,88.64,2.01,0.0,1.32,2021-03-19 00:00:00
23.92,89.17,1.76,0.0,1.12,2021-03-19 01:00:00
23.71,90.15,1.56,0.0,0.98,2021-03-19 02:00:00
23.43,91.68,1.5,0.0,0.94,2021-03-19 03:00:00
23.18,93.1,1.32,0.0,0.85,2021-03-19 04:00:00
23.08,93.69,1.1,0.0,0.7,2021-03-19 05:00:00
23.27,93.45,0.9,0.0,0.55,2021-03-19 06:00:00
25.46,84.49,0.67,0.0,0.44,2021-03-19 07:00:00
28.84,62.94,0.76,0.0,0.48,2021-03-19 08:00:00
30.24,54.76,0.99,0.0,0.59,2021-03-19 09:00:00
31.1,52.16,1.26,0.0,0.7,2021-03-19 10:00:00
31.93,50.82,1.58,0.0,0.86,2021-03-19 11:00:00
32.36,51.73,1.81,0.0,1.0,2021-03-19 12:00:00
32.57,52.01,2.04,0.0,1.13,2021-03-19 13:00:00
32.41,52.95,2.23,0.0,1.25,2021-03-19 14:00:00
32.01,54.56,2.34,0.0,1.35,2021-03-19 15:00:00
31.07,58.77,2.33,0.0,1.53,2021-03-19 16:00:00
29.16,69.36,2.5,0.0,1.9,2021-03-19 17:00:00
27.14,77.98,2.75,0.0,2.38,2021-03-19 18:00:00
26.33,80.9,2.92,0.0,2.54,2021-03-19 19:00:00
25.55,84.3,2.83,0.0,2.44,2021-03-19 20:00:00
24.88,87.26,2.64,0.0,2.22,2021-03-19 21:00:00
24.41,88.93,2.43,0.0,1.97,2021-03-19 22:00:00
24.04,89.74,2.22,0.0,1.69,2021-03-19 23:00:00
23.8,89.75,2.08,0.0,1.4,2021-03-20 00:00:00
23.67,89.47,1.8,0.0,1.15,2021-03-20 01:00:00
23.53,89.69,1.56,0.0,0.98,2021-03-20 02:00:00
23.38,90.21,1.39,0.0,0.86,2021-03-20 03:00:00
23.16,91.21,1.25,0.0,0.78,2021-03-20 04:00:00
23.03,91.96,1.1,0.0,0.71,2021-03-20 05:00:00
23.12,92.3,1.03,0.0,0.64,2021-03-20 06:00:00
25.49,84.06,0.87,0.0,0.54,2021-03-20 07:00:00
28.96,62.95,0.95,0.0,0.59,2021-03-20 08:00:00
30.67,53.91,1.23,0.0,0.73,2021-03-20 09:00:00
31.59,51.42,1.5,0.0,0.84,2021-03-20 10:00:00
32.4,50.22,1.85,0.0,1.04,2021-03-20 11:00:00
32.83,50.93,2.15,0.0,1.23,2021-03-20 12:00:00
32.96,51.36,2.43,0.0,1.4,2021-03-20 13:00:00
32.85,52.21,2.64,0.0,1.53,2021-03-20 14:00:00
32.38,53.74,2.74,0.0,1.62,2021-03-20 15:00:00
31.51,57.42,2.72,0.0,1.77,2021-03-20 16:00:00
29.84,65.95,2.72,0.0,2.02,2021-03-20 17:00:00
27.44,77.13,2.77,0.0,2.38,2021-03-20 18:00:00
26.48,80.67,2.83,0.0,2.46,2021-03-20 19:00:00
25.91,83.78,2.69,0.0,2.31,2021-03-20 20:00:00
25.45,86.28,2.51,0.0,2.1,2021-03-20 21:00:00
25.14,87.46,2.27,0.0,1.81,2021-03-20 22:00:00
24.9,87.85,2.15,0.0,1.55,2021-03-20 23:00:00
24.78,87.13,2.01,0.0,1.35,2021-03-21 00:00:00
24.72,86.48,1.82,0.0,1.18,2021-03-21 01:00:00
24.67,86.0,1.61,0.0,1.01,2021-03-21 02:00:00
24.61,85.79,1.38,0.0,0.85,2021-03-21 03:00:00
24.46,86.32,1.11,0.0,0.71,2021-03-21 04:00:00
24.45,86.41,0.95,0.0,0.6,2021-03-21 05:00:00
24.59,86.36,0.84,0.0,0.51,2021-03-21 06:00:00
26.21,82.26,0.72,0.0,0.45,2021-03-21 07:00:00
29.39,62.27,1.11,0.0,0.75,2021-03-21 08:00:00
31.09,54.8,1.65,0.0,1.04,2021-03-21 09:00:00
31.6,53.11,2.07,0.0,1.23,2021-03-21 10:00:00
32.38,52.02,2.39,0.0,1.42,2021-03-21 11:00:00
32.83,52.4,2.57,0.0,1.55,2021-03-21 12:00:00
33.08,52.36,2.68,0.0,1.62,2021-03-21 13:00:00
32.95,53.17,2.73,0.0,1.66,2021-03-21 14:00:00
32.38,55.17,2.73,0.0,1.7,2021-03-21 15:00:00
31.46,59.51,2.49,0.0,1.76,2021-03-21 16:00:00
29.92,67.72,2.48,0.0,1.87,2021-03-21 17:00:00
27.61,77.25,2.55,0.0,2.14,2021-03-21 18:00:00
26.65,80.54,2.71,0.0,2.26,2021-03-21 19:00:00
26.04,83.69,2.59,0.0,2.14,2021-03-21 20:00:00
25.61,85.95,2.32,0.0,1.87,2021-03-21 21:00:00
25.34,87.17,2.29,0.0,1.66,2021-03-21 22:00:00
25.1,88.07,2.24,0.0,1.57,2021-03-21 23:00:00
24.86,88.95,2.18,0.0,1.49,2021-03-22 00:00:00
24.69,89.55,2.06,0.0,1.38,2021-03-22 01:00:00
24.6,89.8,1.89,0.0,1.25,2021-03-22 02:00:00
24.53,90.17,1.74,0.0,1.14,2021-03-22 03:00:00
24.45,90.72,1.7,0.0,1.12,2021-03-22 04:00:00
24.35,91.51,1.66,0.0,1.09,2021-03-22 05:00:00
24.47,91.94,1.53,0.0,1.04,2021-03-22 06:00:00
26.69,84.25,1.37,1.79,0.92,2021-03-22 07:00:00
29.04,67.62,1.63,1.5,1.03,2021-03-22 08:00:00
30.5,60.4,1.8,1.62,1.07,2021-03-22 09:00:00
31.55,57.04,2.31,2.21,1.35,2021-03-22 10:00:00
32.2,56.53,2.86,3.46,1.68,2021-03-22 11:00:00
32.43,57.05,3.39,6.57,1.98,2021-03-22 12:00:00
32.18,58.47,3.9,5.84,2.27,2021-03-22 13:00:00
31.38,61.72,4.3,5.22,2.54,2021-03-22 14:00:00
30.43,65.8,4.48,4.93,2.7,2021-03-22 15:00:00
29.29,71.14,4.18,5.48,2.65,2021-03-22 16:00:00
28.06,78.19,3.33,7.36,2.4,2021-03-22 17:00:00
26.79,86.0,2.7,7.67,2.3,2021-03-22 18:00:00
26.39,88.61,2.77,8.76,2.34,2021-03-22 19:00:00
26.14,90.54,2.68,8.71,2.26,2021-03-22 20:00:00
25.86,92.12,2.5,9.01,2.16,2021-03-22 21:00:00
25.6,93.04,2.45,7.68,2.14,2021-03-22 22:00:00
25.35,93.64,2.46,5.41,2.14,2021-03-22 23:00:00
25.13,94.02,2.44,3.09,2.11,2021-03-23 00:00:00
24.99,94.24,2.37,2.18,2.03,2021-03-23 01:00:00
24.91,94.19,2.36,1.25,2.01,2021-03-23 02:00:00
24.88,93.98,2.38,0.58,2.03,2021-03-23 03:00:00
24.83,93.77,2.39,0.53,2.03,2021-03-23 04:00:00
24.75,93.5,2.38,0.4,2.01,2021-03-23 05:00:00
24.94,92.95,2.29,0.43,1.95,2021-03-23 06:00:00
26.62,87.32,2.78,0.33,2.09,2021-03-23 07:00:00
28.08,76.56,3.72,0.47,2.44,2021-03-23 08:00:00
29.37,69.52,4.06,1.59,2.52,2021-03-23 09:00:00
30.19,66.09,4.26,1.89,2.58,2021-03-23 10:00:00
30.61,64.85,4.38,2.24,2.6,2021-03-23 11:00:00
30.72,64.82,4.53,2.28,2.66,2021-03-23 12:00:00
28.23,75.16,3.86,1.26,2.64,2021-03-23 17:00:00
26.85,83.63,2.96,0.98,2.46,2021-03-23 18:00:00
26.22,87.79,2.71,0.64,2.32,2021-03-23 19:00:00
25.97,89.57,2.54,0.42,2.15,2021-03-23 20:00:00
25.83,90.22,2.4,0.1,1.99,2021-03-23 21:00:00
25.71,90.59,2.21,0.06,1.78,2021-03-23 22:00:00
25.55,90.84,2.12,0.13,1.6,2021-03-23 23:00:00
25.47,90.81,2.07,0.29,1.49,2021-03-24 00:00:00
25.35,91.24,2.02,0.55,1.45,2021-03-24 01:00:00
25.23,91.64,2.01,0.69,1.47,2021-03-24 02:00:00
25.09,92.43,2.09,0.69,1.6,2021-03-24 03:00:00
25.03,93.06,2.08,0.3,1.71,2021-03-24 04:00:00
25.02,93.6,2.16,0.21,1.83,2021-03-24 05:00:00
25.3,93.52,2.37,0.29,2.0,2021-03-24 06:00:00
26.44,90.59,2.6,0.77,1.95,2021-03-24 07:00:00
27.36,86.14,3.16,0.95,2.1,2021-03-24 08:00:00
28.36,79.41,4.06,1.91,2.62,2021-03-24 09:00:00
29.13,73.52,4.36,3.15,2.73,2021-03-24 10:00:00
29.92,68.98,4.35,5.08,2.68,2021-03-24 11:00:00
30.23,66.34,4.31,7.02,2.65,2021-03-24 12:00:00
30.18,65.96,4.22,9.14,2.59,2021-03-24 13:00:00
29.86,67.36,4.13,9.11,2.55,2021-03-24 14:00:00
29.32,70.19,3.92,9.21,2.45,2021-03-24 15:00:00
28.6,74.78,3.45,8.7,2.24,2021-03-24 16:00:00
27.73,81.1,2.71,8.71,2.01,2021-03-24 17:00:00
26.65,88.25,2.25,8.9,1.92,2021-03-24 18:00:00
26.18,90.57,2.22,5.47,1.87,2021-03-24 19:00:00
25.94,91.55,2.19,4.39,1.84,2021-03-24 20:00:00
25.74,92.3,2.16,4.93,1.81,2021-03-24 21:00:00
25.55,92.94,1.99,5.69,1.65,2021-03-24 22:00:00
25.39,93.06,1.9,5.19,1.42,2021-03-24 23:00:00
25.27,92.97,1.71,4.29,1.21,2021-03-25 00:00:00
25.15,92.96,1.52,4.17,1.05,2021-03-25 01:00:00
24.99,93.19,1.42,3.64,0.97,2021-03-25 02:00:00
24.82,93.55,1.38,2.45,0.93,2021-03-25 03:00:00
24.62,94.13,1.4,1.44,0.96,2021-03-25 04:00:00
24.42,94.8,1.51,1.2,1.06,2021-03-25 05:00:00
24.49,95.3,1.63,0.98,1.21,2021-03-25 06:00:00
26.21,91.47,1.96,0.32,1.39,2021-03-25 07:00:00
27.36,83.88,2.71,0.22,1.81,2021-03-25 08:00:00
28.42,77.5,3.33,0.19,2.03,2021-03-25 09:00:00
29.22,73.75,3.7,0.34,2.24,2021-03-25 10:00:00
29.77,71.04,3.98,0.52,2.39,2021-03-25 11:00:00
30.15,69.11,4.11,0.58,2.47,2021-03-25 12:00:00
30.26,68.1,4.13,0.56,2.49,2021-03-25 13:00:00
30.15,68.22,4.03,0.52,2.44,2021-03-25 14:00:00
29.81,69.49,3.88,0.63,2.38,2021-03-25 15:00:00
29.19,72.43,3.57,0.55,2.28,2021-03-25 16:00:00
28.23,78.92,2.79,0.59,2.03,2021-03-25 17:00:00
26.73,88.21,2.28,0.46,1.93,2021-03-25 18:00:00
26.26,90.19,2.26,0.25,1.9,2021-03-25 19:00:00
26.05,91.11,2.18,0.1,1.84,2021-03-25 20:00:00
25.88,91.6,2.09,0.03,1.75,2021-03-25 21:00:00
25.67,92.11,1.99,0.02,1.7,2021-03-25 22:00:00
25.51,92.33,1.96,0.02,1.7,2021-03-25 23:00:00
25.34,92.52,1.89,0.02,1.62,2021-03-26 00:00:00
25.18,92.64,1.88,0.04,1.56,2021-03-26 01:00:00
25.03,92.92,1.88,0.12,1.57,2021-03-26 02:00:00
24.89,93.22,1.9,0.16,1.61,2021-03-26 03:00:00
24.76,93.46,1.94,0.16,1.66,2021-03-26 04:00:00
24.65,93.62,1.94,0.11,1.72,2021-03-26 05:00:00
24.91,92.9,2.0,0.12,1.75,2021-03-26 06:00:00
26.81,84.38,2.53,0.08,1.72,2021-03-26 07:00:00
28.34,75.13,3.39,0.08,2.13,2021-03-26 08:00:00
29.47,70.21,3.68,0.1,2.24,2021-03-26 09:00:00
30.26,66.98,3.98,0.14,2.4,2021-03-26 10:00:00
30.74,64.99,4.26,0.17,2.55,2021-03-26 11:00:00
30.89,64.19,4.47,0.29,2.66,2021-03-26 12:00:00
30.84,64.36,4.58,0.35,2.72,2021-03-26 13:00:00
30.61,65.13,4.61,0.4,2.76,2021-03-26 14:00:00
30.2,66.44,4.57,0.37,2.77,2021-03-26 15:00:00
29.59,68.74,4.23,0.31,2.62,2021-03-26 16:00:00
28.63,73.82,3.43,0.25,2.36,2021-03-26 17:00:00
26.9,84.61,2.53,0.21,2.14,2021-03-26 18:00:00
26.26,88.43,2.38,0.15,2.0,2021-03-26 19:00:00
26.0,89.91,2.14,0.09,1.78,2021-03-26 20:00:00
25.83,90.63,1.97,0.08,1.51,2021-03-26 21:00:00
25.76,90.48,1.86,0.05,1.31,2021-03-26 22:00:00
25.68,90.28,1.73,0.03,1.19,2021-03-26 23:00:00
25.56,90.22,1.61,0.02,1.09,2021-03-27 00:00:00
25.44,90.28,1.49,0.01,1.02,2021-03-27 01:00:00
25.29,90.57,1.5,0.02,1.06,2021-03-27 02:00:00
25.07,91.45,1.64,0.01,1.19,2021-03-27 03:00:00
24.92,92.18,1.82,0.02,1.36,2021-03-27 04:00:00
24.76,92.76,1.97,0.02,1.5,2021-03-27 05:00:00
24.86,92.99,2.01,0.02,1.61,2021-03-27 06:00:00
26.44,88.21,2.12,0.0,1.55,2021-03-27 07:00:00
27.84,79.64,3.06,0.0,1.97,2021-03-27 08:00:00
29.06,73.56,3.65,0.01,2.25,2021-03-27 09:00:00
30.13,68.89,4.12,0.01,2.51,2021-03-27 10:00:00
30.73,65.96,4.49,0.01,2.72,2021-03-27 11:00:00
30.5,66.14,4.5,0.06,2.73,2021-03-27 14:00:00
30.01,68.33,4.2,0.07,2.56,2021-03-27 15:00:00
29.46,71.13,3.77,0.04,2.36,2021-03-27 16:00:00
28.58,76.66,2.96,0.07,2.09,2021-03-27 17:00:00
27.05,86.41,2.25,0.05,1.9,2021-03-27 18:00:00
26.52,89.03,2.04,0.05,1.69,2021-03-27 19:00:00
26.28,90.18,1.94,0.04,1.51,2021-03-27 20:00:00
26.11,90.87,1.93,0.04,1.44,2021-03-27 21:00:00
25.97,91.39,1.95,0.03,1.41,2021-03-27 22:00:00
25.84,91.65,1.85,0.04,1.3,2021-03-27 23:00:00
25.77,91.32,1.7,0.04,1.15,2021-03-28 00:00:00
25.63,91.24,1.57,0.04,1.04,2021-03-28 01:00:00
25.43,91.69,1.52,0.05,1.02,2021-03-28 02:00:00
25.2,92.42,1.54,0.04,1.08,2021-03-28 03:00:00
25.06,92.8,1.56,0.04,1.1,2021-03-28 04:00:00
24.95,93.2,1.62,0.05,1.16,2021-03-28 05:00:00
25.13,93.34,1.7,0.06,1.3,2021-03-28 06:00:00
26.98,86.28,2.0,4.4,1.38,2021-03-28 07:00:00
28.19,78.85,2.58,4.92,1.6,2021-03-28 08:00:00
29.21,73.89,2.73,5.27,1.63,2021-03-28 09:00:00
30.1,70.19,2.88,6.97,1.68,2021-03-28 10:00:00
30.73,67.53,3.06,8.76,1.78,2021-03-28 11:00:00
30.81,66.73,3.22,10.04,1.87,2021-03-28 12:00:00
30.92,66.15,3.34,12.5,1.93,2021-03-28 13:00:00
30.86,66.11,3.35,12.23,1.95,2021-03-28 14:00:00
30.49,67.31,3.27,11.77,1.93,2021-03-28 15:00:00
29.93,69.86,3.13,8.39,1.91,2021-03-28 16:00:00
28.83,76.08,2.67,6.65,1.94,2021-03-28 17:00:00
27.22,84.91,2.42,5.55,2.06,2021-03-28 18:00:00
26.47,88.3,2.43,4.31,2.08,2021-03-28 19:00:00
26.11,90.17,2.37,2.51,2.01,2021-03-28 20:00:00
25.84,91.49,2.23,1.7,1.89,2021-03-28 21:00:00
25.6,92.51,2.03,1.32,1.68,2021-03-28 22:00:00
25.53,92.36,1.95,1.23,1.41,2021-03-28 23:00:00
25.46,92.13,1.75,1.43,1.19,2021-03-29 00:00:00
25.28,92.38,1.63,2.31,1.08,2021-03-29 01:00:00
25.0,93.14,1.5,2.12,1.0,2021-03-29 02:00:00
24.7,93.99,1.43,2.18,0.95,2021-03-29 03:00:00
24.46,94.57,1.37,1.95,0.92,2021-03-29 04:00:00
24.32,94.67,1.26,1.65,0.84,2021-03-29 05:00:00
24.53,94.47,1.07,1.22,0.7,2021-03-29 06:00:00
26.84,88.22,0.62,0.4,0.29,2021-03-29 07:00:00
31.29,61.03,0.74,0.34,0.56,2021-03-29 08:00:00
32.09,52.23,0.84,0.37,0.54,2021-03-29 09:00:00
32.63,51.13,0.77,0.28,0.46,2021-03-29 10:00:00
33.35,51.32,0.8,0.37,0.46,2021-03-29 11:00:00
33.92,49.59,0.9,0.52,0.48,2021-03-29 12:00:00
34.12,49.19,1.07,0.73,0.55,2021-03-29 13:00:00
33.88,50.25,1.27,1.03,0.65,2021-03-29 14:00:00
33.36,52.74,1.4,1.71,0.73,2021-03-29 15:00:00
33.59,54.7,1.29,2.03,0.71,2021-03-29 16:00:00
32.0,62.49,1.2,2.51,0.69,2021-03-29 17:00:00
29.75,72.98,1.38,2.11,0.95,2021-03-29 18:00:00
28.51,78.18,1.96,2.06,1.48,2021-03-29 19:00:00
27.81,81.97,1.96,2.3,1.52,2021-03-29 20:00:00
27.31,85.09,1.77,3.45,1.35,2021-03-29 21:00:00
26.84,87.9,1.76,7.35,1.4,2021-03-29 22:00:00
26.42,90.39,1.92,10.61,1.57,2021-03-29 23:00:00
26.08,92.53,1.99,14.23,1.68,2021-03-30 00:00:00
25.81,94.03,2.03,16.89,1.76,2021-03-30 01:00:00
25.56,95.1,2.07,14.51,1.8,2021-03-30 02:00:00
25.35,95.74,2.11,12.13,1.83,2021-03-30 03:00:00
25.17,96.15,2.12,9.37,1.83,2021-03-30 04:00:00
25.0,96.47,2.12,6.59,1.79,2021-03-30 05:00:00
25.1,96.44,2.07,4.52,1.75,2021-03-30 06:00:00
31.0,64.7,1.84,15.5,1.07,2021-03-30 11:00:00
25.35,95.86,1.93,19.71,1.7,2021-03-31 01:00:00
25.12,96.39,1.86,19.39,1.64,2021-03-31 02:00:00
25.92,94.7,2.2,2.98,1.43,2021-03-31 07:00:00
27.76,84.58,2.21,2.91,1.4,2021-03-31 08:00:00
29.7,67.33,2.12,1.71,1.3,2021-03-31 09:00:00
30.8,61.61,2.04,0.56,1.2,2021-03-31 10:00:00
31.73,59.17,1.98,0.22,1.16,2021-03-31 11:00:00
32.25,58.25,1.93,0.2,1.15,2021-03-31 12:00:00
32.42,59.08,1.9,0.33,1.19,2021-03-31 13:00:00
32.4,60.03,1.89,0.66,1.21,2021-03-31 14:00:00
32.16,61.56,1.89,0.95,1.22,2021-03-31 15:00:00
31.63,64.5,1.8,1.02,1.24,2021-03-31 16:00:00
30.68,68.5,1.88,1.23,1.35,2021-03-31 17:00:00
28.64,80.19,1.81,1.3,1.56,2021-03-31 18:00:00
27.61,85.34,2.03,1.78,1.82,2021-03-31 19:00:00
26.97,89.17,2.29,1.98,1.95,2021-03-31 20:00:00
26.44,92.19,2.47,1.75,2.05,2021-03-31 21:00:00
26.03,94.25,2.46,1.89,2.05,2021-03-31 22:00:00
25.71,95.61,2.43,2.22,2.04,2021-03-31 23:00:00
25.44,96.52,2.35,2.57,2.0,2021-04-01 00:00:00
25.27,96.89,2.29,3.99,1.99,2021-04-01 01:00:00
25.12,97.13,2.24,6.67,1.96,2021-04-01 02:00:00
25.0,97.26,2.17,7.22,1.91,2021-04-01 03:00:00
24.9,97.31,2.14,8.96,1.9,2021-04-01 04:00:00
24.78,97.43,2.09,8.74,1.86,2021-04-01 05:00:00
24.93,97.01,2.03,7.91,1.76,2021-04-01 06:00:00
26.14,93.79,2.5,4.68,1.67,2021-04-01 07:00:00
27.72,84.46,3.19,3.77,2.08,2021-04-01 08:00:00
29.34,75.12,3.95,3.17,2.54,2021-04-01 09:00:00
30.28,70.58,4.39,3.32,2.78,2021-04-01 10:00:00
30.95,67.64,4.4,2.87,2.76,2021-04-01 11:00:00
31.35,66.08,4.27,2.82,2.65,2021-04-01 12:00:00
31.43,65.81,4.16,4.02,2.6,2021-04-01 13:00:00
31.3,66.55,4.04,5.84,2.52,2021-04-01 14:00:00
30.58,70.02,3.83,6.74,2.44,2021-04-01 15:00:00
29.7,75.03,3.65,7.27,2.37,2021-04-01 16:00:00
28.5,82.42,3.2,6.83,2.27,2021-04-01 17:00:00
27.17,90.38,2.63,6.1,2.18,2021-04-01 18:00:00
26.58,93.37,2.5,4.66,2.11,2021-04-01 19:00:00
26.26,94.76,2.37,3.33,2.02,2021-04-01 20:00:00
26.03,95.51,2.32,2.24,2.0,2021-04-01 21:00:00
25.84,95.88,2.37,2.21,2.03,2021-04-01 22:00:00
25.68,96.07,2.47,2.03,2.1,2021-04-01 23:00:00
25.5,96.34,2.49,2.4,2.11,2021-04-02 00:00:00
25.33,96.53,2.4,2.57,2.08,2021-04-02 01:00:00
25.2,96.7,2.41,2.96,2.1,2021-04-02 02:00:00
25.1,96.76,2.39,2.92,2.09,2021-04-02 03:00:00
24.97,96.81,2.23,2.91,1.99,2021-04-02 04:00:00
24.87,96.87,2.11,2.79,1.92,2021-04-02 05:00:00
25.01,96.62,2.18,2.77,1.9,2021-04-02 06:00:00
25.87,94.58,2.65,3.58,1.72,2021-04-02 07:00:00
27.01,89.43,3.23,3.51,2.16,2021-04-02 08:00:00
28.36,79.97,4.17,3.77,2.71,2021-04-02 09:00:00
29.03,72.67,4.47,4.14,2.88,2021-04-02 16:00:00
28.0,78.91,3.55,3.25,2.49,2021-04-02 17:00:00
26.51,88.43,2.64,2.88,2.27,2021-04-02 18:00:00
25.86,92.16,2.41,2.61,2.13,2021-04-02 19:00:00
25.54,93.76,2.17,2.15,1.92,2021-04-02 20:00:00
25.26,94.85,2.01,2.07,1.78,2021-04-02 21:00:00
24.99,95.67,1.9,1.97,1.66,2021-04-02 22:00:00
24.73,96.38,1.84,2.07,1.53,2021-04-02 23:00:00
24.48,97.0,1.81,2.08,1.47,2021-04-03 00:00:00
24.27,97.37,1.85,2.34,1.5,2021-04-03 01:00:00
24.11,97.56,1.92,2.05,1.56,2021-04-03 02:00:00
23.98,97.86,1.99,2.05,1.65,2021-04-03 03:00:00
23.92,97.74,2.01,2.24,1.66,2021-04-03 04:00:00
23.82,97.9,2.01,1.89,1.64,2021-04-03 05:00:00
24.22,97.15,1.96,1.81,1.6,2021-04-03 06:00:00
25.99,93.43,2.27,1.05,1.44,2021-04-03 07:00:00
27.92,82.18,2.41,0.93,1.49,2021-04-03 08:00:00
29.4,72.72,2.43,0.81,1.45,2021-04-03 09:00:00
30.65,67.67,2.47,1.14,1.47,2021-04-03 10:00:00
31.58,64.15,2.41,1.46,1.45,2021-04-03 11:00:00
32.07,62.28,2.15,2.12,1.3,2021-04-03 12:00:00
32.4,61.13,1.79,2.52,1.09,2021-04-03 13:00:00
32.25,60.96,1.34,3.29,0.83,2021-04-03 14:00:00
31.88,62.16,0.95,3.77,0.59,2021-04-03 15:00:00
31.88,64.71,0.75,3.91,0.5,2021-04-03 16:00:00
30.71,68.98,0.79,3.77,0.56,2021-04-03 17:00:00
28.92,79.42,1.03,3.61,0.87,2021-04-03 18:00:00
27.99,84.55,1.37,3.09,1.24,2021-04-03 19:00:00
27.38,87.56,1.7,2.82,1.58,2021-04-03 20:00:00
26.87,90.35,1.97,2.98,1.77,2021-04-03 21:00:00
26.43,92.67,1.99,2.83,1.76,2021-04-03 22:00:00
26.05,94.34,2.03,3.43,1.8,2021-04-03 23:00:00
